ctg.s1.000000F|arrow	NC_012967.1	99.999	943045	11	1	372180	1315224	666131	1609174	0.0	1.741e+06
ctg.s1.000000F|arrow	NC_012967.1	99.996	813322	29	3	2776552	3589872	3080238	3893553	0.0	1.502e+06
ctg.s1.000000F|arrow	NC_012967.1	99.999	645077	6	1	1827201	2472277	2129361	2774436	0.0	1.191e+06
ctg.s1.000000F|arrow	NC_012967.1	99.996	488462	7	2	1313965	1802425	1615469	2103918	0.0	9.019e+05
ctg.s1.000000F|arrow	NC_012967.1	99.996	372183	15	0	1	372183	292506	664688	0.0	6.872e+05
ctg.s1.000000F|arrow	NC_012967.1	99.999	330226	3	0	3589868	3920093	3894995	4225220	0.0	6.098e+05
ctg.s1.000000F|arrow	NC_012967.1	99.993	325163	17	1	3994177	4319334	4304650	4629812	0.0	6.003e+05
ctg.s1.000000F|arrow	NC_012967.1	99.999	304363	3	1	2472271	2776633	2775876	3080237	0.0	5.620e+05
ctg.s1.000000F|arrow	NC_012967.1	99.992	292508	21	3	4319335	4611842	1	292505	0.0	5.400e+05
ctg.s1.000000F|arrow	NC_012967.1	99.208	43964	306	10	3920862	3964823	4231219	4275142	0.0	79220
ctg.s1.000000F|arrow	NC_012967.1	99.882	29729	34	1	3964450	3994177	4274881	4304609	0.0	54704
ctg.s1.000000F|arrow	NC_012967.1	99.980	24712	3	1	1802507	1827216	2103888	2128599	0.0	45605
ctg.s1.000000F|arrow	NC_012967.1	99.703	5392	10	6	3598114	3603502	2652938	2647550	0.0	9864
ctg.s1.000000F|arrow	NC_012967.1	99.703	5392	10	6	2345391	2350779	3908629	3903241	0.0	9864
ctg.s1.000000F|arrow	NC_012967.1	99.166	5393	31	9	3841033	3846423	3903255	3908635	0.0	9697
ctg.s1.000000F|arrow	NC_012967.1	99.166	5393	31	9	3598128	3603508	4146160	4151550	0.0	9697
ctg.s1.000000F|arrow	NC_012967.1	99.001	5405	38	11	3841051	3846452	2652907	2647516	0.0	9668
ctg.s1.000000F|arrow	NC_012967.1	99.001	5405	38	11	2345357	2350748	4151579	4146178	0.0	9668
ctg.s1.000000F|arrow	NC_012967.1	98.784	5429	47	14	3708568	3713989	226399	231815	0.0	9642
ctg.s1.000000F|arrow	NC_012967.1	98.545	5431	58	16	4545734	4551152	4013695	4019116	0.0	9572
ctg.s1.000000F|arrow	NC_012967.1	98.840	5258	38	16	4545642	4550882	3356970	3351719	0.0	9350
ctg.s1.000000F|arrow	NC_012967.1	98.631	5258	47	18	3048032	3053283	231545	226307	0.0	9287
ctg.s1.000000F|arrow	NC_012967.1	99.447	5061	18	9	3882395	3887451	2652773	2647719	0.0	9182
ctg.s1.000000F|arrow	NC_012967.1	99.447	5061	18	9	2345560	2350614	4192578	4187522	0.0	9182
ctg.s1.000000F|arrow	NC_012967.1	99.427	5061	19	9	3882395	3887451	3903406	3908460	0.0	9177
ctg.s1.000000F|arrow	NC_012967.1	99.427	5061	19	9	3598279	3603333	4187522	4192578	0.0	9177
ctg.s1.000000F|arrow	NC_012967.1	98.761	5164	50	13	3708568	3713720	3356879	3351719	0.0	9169
ctg.s1.000000F|arrow	NC_012967.1	98.761	5164	50	13	3048032	3053192	4018847	4013695	0.0	9169
ctg.s1.000000F|arrow	NC_012967.1	98.620	5073	47	17	3882395	3887451	4146311	4151376	0.0	8959
ctg.s1.000000F|arrow	NC_012967.1	98.620	5073	47	17	3841184	3846249	4187522	4192578	0.0	8959
ctg.s1.000000F|arrow	NC_012967.1	99.073	3774	35	0	1206327	1210100	495428	499201	0.0	6776
ctg.s1.000000F|arrow	NC_012967.1	99.073	3774	35	0	202923	206696	1500277	1504050	0.0	6776
ctg.s1.000000F|arrow	NC_012967.1	99.079	3690	34	0	3246192	3249881	3696876	3700565	0.0	6626
ctg.s1.000000F|arrow	NC_012967.1	99.051	3690	35	0	3393189	3396878	3549879	3553568	0.0	6621
ctg.s1.000000F|arrow	NC_012967.1	99.910	3330	3	0	3884381	3887710	228475	231804	0.0	6133
ctg.s1.000000F|arrow	NC_012967.1	99.520	3332	14	2	4547810	4551141	4189508	4192837	0.0	6063
ctg.s1.000000F|arrow	NC_012967.1	98.926	3351	25	6	3884381	3887722	4015770	4019118	0.0	5978
ctg.s1.000000F|arrow	NC_012967.1	98.926	3351	25	6	3710643	3713991	4189508	4192849	0.0	5978
