ctg.s1.000000F|arrow	NC_012967.1	99.999	943045	11	1	664687	1607731	666131	1609174	0.0	1.741e+06
ctg.s1.000000F|arrow	NC_012967.1	99.996	813322	29	3	3069059	3882379	3080238	3893553	0.0	1.502e+06
ctg.s1.000000F|arrow	NC_012967.1	99.994	664691	36	4	1	664690	1	664688	0.0	1.227e+06
ctg.s1.000000F|arrow	NC_012967.1	99.999	645077	6	1	2119708	2764784	2129361	2774436	0.0	1.191e+06
ctg.s1.000000F|arrow	NC_012967.1	99.996	488462	7	2	1606472	2094932	1615469	2103918	0.0	9.019e+05
ctg.s1.000000F|arrow	NC_012967.1	99.999	330226	3	0	3882375	4212600	3894995	4225220	0.0	6.098e+05
ctg.s1.000000F|arrow	NC_012967.1	99.993	325163	17	1	4286684	4611841	4304650	4629812	0.0	6.003e+05
ctg.s1.000000F|arrow	NC_012967.1	99.999	304363	3	1	2764778	3069140	2775876	3080237	0.0	5.620e+05
ctg.s1.000000F|arrow	NC_012967.1	99.208	43964	306	10	4213369	4257330	4231219	4275142	0.0	79220
ctg.s1.000000F|arrow	NC_012967.1	99.882	29729	34	1	4256957	4286684	4274881	4304609	0.0	54704
ctg.s1.000000F|arrow	NC_012967.1	99.980	24712	3	1	2095014	2119723	2103888	2128599	0.0	45605
ctg.s1.000000F|arrow	NC_012967.1	99.703	5392	10	6	3890621	3896009	2652938	2647550	0.0	9864
ctg.s1.000000F|arrow	NC_012967.1	99.703	5392	10	6	2637898	2643286	3908629	3903241	0.0	9864
ctg.s1.000000F|arrow	NC_012967.1	99.166	5393	31	9	4133540	4138930	3903255	3908635	0.0	9697
ctg.s1.000000F|arrow	NC_012967.1	99.166	5393	31	9	3890635	3896015	4146160	4151550	0.0	9697
ctg.s1.000000F|arrow	NC_012967.1	99.001	5405	38	11	4133558	4138959	2652907	2647516	0.0	9668
ctg.s1.000000F|arrow	NC_012967.1	99.001	5405	38	11	2637864	2643255	4151579	4146178	0.0	9668
ctg.s1.000000F|arrow	NC_012967.1	98.784	5429	47	14	4001075	4006496	226399	231815	0.0	9642
ctg.s1.000000F|arrow	NC_012967.1	98.545	5431	58	16	226400	231818	4013695	4019116	0.0	9572
